,geometry,crimes_2021,crimes_2022,crimes_2023,crimes_2020,gas_station,bar,liquor_store
428,"POLYGON ((1437372 7461709, 1437372 7462209, 1437872 7462209, 1437872 7461709, 1437372 7461709))",0,0,0,0,9461.106351806677,11960.50513525363,12153.466365382508
368,"POLYGON ((1436872 7461709, 1436872 7462209, 1437372 7462209, 1437372 7461709, 1436872 7461709))",0,0,0,0,9506.620963230092,12254.548991112326,12427.270295906948
489,"POLYGON ((1437872 7462209, 1437872 7462709, 1438372 7462709, 1438372 7462209, 1437872 7462209))",0,0,0,0,8918.671284826769,11264.677069571946,11464.937310037856
429,"POLYGON ((1437372 7462209, 1437372 7462709, 1437872 7462709, 1437872 7462209, 1437372 7462209))",0,0,0,0,8962.216612131997,11554.792830980728,11733.502880050157
369,"POLYGON ((1436872 7462209, 1436872 7462709, 1437372 7462709, 1437372 7462209, 1436872 7462209))",0,0,0,0,9010.251680230911,11858.900676370778,12016.879468031313
70,"POLYGON ((1434872 7463209, 1434872 7462950.636012858, 1434490.5807388683 7463071.772053868, 1434485.7846849149 7463209, 1434872 7463209))",0,0,0,0,9015.132260033748,13060.61095918037,13108.21690042438
130,"POLYGON ((1434872 7463209, 1435372 7463209, 1435372 7462709, 1435338.0892373833 7462709, 1435307.0244236228 7462812.475353996, 1434872 7462950.636012858, 1434872 7463209))",0,0,0,0,8921.916875247758,12781.546395589896,12846.725190191022
131,"POLYGON ((1434872 7463209, 1434872 7463709, 1435372 7463709, 1435372 7463209, 1434872 7463209))",0,0,0,0,8529.680926012239,12511.346264311938,12560.385809548374
71,"POLYGON ((1434872 7463709, 1434872 7463209, 1434485.7846849149 7463209, 1434468.3099135992 7463709, 1434872 7463709))",0,0,0,0,8701.316488466884,12848.737413841121,12882.884170965888
132,"POLYGON ((1434872 7463709, 1434872 7464209, 1435372 7464209, 1435372 7463709, 1434872 7463709))",0,0,0,0,8066.241373908611,12185.784325268829,12216.040145086521
72,"POLYGON ((1434872 7464209, 1434872 7463709, 1434468.3099135992 7463709, 1434450.8351422837 7464209, 1434872 7464209))",0,0,0,0,8251.484634173223,12538.91067825118,12554.082451135448
542,"POLYGON ((1438372 7459209, 1438551.365956983 7459209, 1438487.91540896 7459159.232132123, 1438478.3440134535 7459151.7219129, 1438408.4030319005 7459096.859081249, 1438372 7459068.303502703, 1438372 7459209))",0,0,0,0,11904.007877260607,13970.357903618791,14254.93939331156
965,"POLYGON ((1441872 7460709, 1442372 7460709, 1442372 7460500.740363276, 1442370.3463431823 7460500.608840474, 1442367.0687852947 7460500.353381562, 1442361.601672157 7460499.927949251, 1442253.6790823708 7460527.904014407, 1442007.290617806 7460591.783970697, 1441872 7460626.124815791, 1441872 7460709))",0,0,0,0,9946.341225263377,11360.947176412046,11771.466329687979
1025,"POLYGON ((1442372 7460709, 1442872 7460709, 1442872 7460540.455966325, 1442599.4234467852 7460518.818843783, 1442486.392799395 7460509.838539711, 1442372 7460500.740363276, 1442372 7460709))",0,0,0,0,9988.1225827657,11292.428409879674,11721.17368850689
905,"POLYGON ((1441872 7460709, 1441872 7460626.124815791, 1441617.0873691891 7460690.829340829, 1441544.672871699 7460709, 1441872 7460709))",0,0,0,0,9890.421029499887,11399.588345378379,11793.588646846243
1026,"POLYGON ((1442372 7460709, 1442372 7461209, 1442872 7461209, 1442872 7460709, 1442372 7460709))",0,0,0,0,9645.403364064096,10951.33305520755,11378.358022170376
966,"POLYGON ((1441872 7460709, 1441872 7461209, 1442372 7461209, 1442372 7460709, 1441872 7460709))",0,0,0,0,9617.119839721267,11047.71395227199,11454.140456347486
785,"POLYGON ((1440372 7460709, 1440488.9426647734 7460709, 1440372 7460616.9898337005, 1440372 7460709))",0,0,0,0,9994.120070889488,11799.435215058611,12137.265395167831
725,"POLYGON ((1439872 7460709, 1440372 7460709, 1440372 7460616.9898337005, 1440332.2442200354 7460585.710095609, 1439872 7460223.533168328, 1439872 7460709))",0,0,0,0,10182.905135973326,12049.864184121761,12375.367893321676
786,"POLYGON ((1440372 7460709, 1440372 7461209, 1440872 7461209, 1440872 7460850.8957631225, 1440847.8910713831 7460848.909087653, 1440657.7430498183 7460787.697520296, 1440541.3379671094 7460750.220286377, 1440535.2296169233 7460745.411180782, 1440532.5726869993 7460743.318641686, 1440524.8165592153 7460737.206294371, 1440519.332574971 7460732.910697576, 1440488.9426647734 7460709, 1440372 7460709))",0,0,0,0,9660.59818657118,11441.215340644612,11782.839799887663
726,"POLYGON ((1439872 7460709, 1439872 7461209, 1440372 7461209, 1440372 7460709, 1439872 7460709))",0,0,0,0,9762.671040028246,11641.869914743069,11963.216241710466
603,"POLYGON ((1438872 7459709, 1439188.8309592984 7459709, 1438872 7459460.49148726, 1438872 7459709))",0,0,0,0,11310.290311971574,13318.619768676537,13615.720765096692
543,"POLYGON ((1438372 7459209, 1438372 7459709, 1438872 7459709, 1438872 7459460.49148726, 1438551.365956983 7459209, 1438372 7459209))",0,0,0,0,11542.580696197692,13603.485366621626,13888.521799961225
